Age,Gender,Weight (kg),Height (cm),Waist (cm),Hip (cm),Neck (cm),Body Fat Percentage
29,Female,55.2,168.1,97.6,98.1,34.6,37.65170245526838
29,Female,83.6,166.8,65.2,89.4,44.3,11.791556095984618
35,Female,68.6,188.5,75.9,101.1,33.7,24.20088853026789
53,Male,68.7,198.6,119.6,126.2,42.0,31.964427927996667
52,Male,115.6,167.8,76.2,98.5,32.1,15.858546985083535
42,Male,98.3,150.7,94.8,113.6,38.8,28.008077480110956
58,Male,115.1,196.8,93.0,135.2,31.4,23.427696036632483
39,Female,90.3,187.7,84.1,121.9,36.1,36.45363525178351
47,Female,113.5,191.7,62.0,113.7,44.3,17.573819251789246
61,Female,108.6,160.4,77.1,132.0,39.6,43.5973927820354
46,Male,119.8,182.3,117.2,99.8,33.1,37.860716820107314
24,Male,85.2,161.6,61.2,91.9,42.1,-11.696317295229676
57,Male,98.7,150.6,102.9,124.8,39.8,32.6381754822674
20,Female,61.2,157.9,113.6,83.5,43.9,36.867141215071
38,Male,115.8,196.1,105.7,105.5,33.4,29.624428421689572
62,Female,77.9,160.8,79.4,97.2,31.8,31.9752040611491
37,Male,114.2,179.3,91.2,138.3,39.5,19.714882150933022
26,Male,57.0,198.4,112.1,102.6,43.7,27.138608370141128
58,Female,86.1,153.8,118.5,119.8,41.7,57.036344594265245
53,Male,50.1,190.4,65.8,96.1,36.2,-1.6576452459948428
31,Female,79.1,179.9,67.5,139.0,36.5,38.45203347403532
35,Male,55.8,166.2,117.3,90.8,35.0,39.99232556874745
50,Male,81.4,168.2,112.4,134.4,43.8,32.405307391425424
19,Female,88.9,151.4,72.7,106.7,42.2,30.844708225634122
54,Male,109.7,162.8,118.2,105.6,34.0,41.587636333751334
48,Male,70.7,171.2,72.5,122.1,34.8,9.6562487793571
39,Female,89.7,185.8,65.3,85.6,41.1,7.082004180886543
63,Male,54.7,163.7,100.9,112.8,36.4,30.86560138770841
26,Female,113.9,179.0,92.4,93.2,39.1,28.011140980930463
37,Female,81.6,186.6,74.4,89.4,32.3,18.770996239346175
37,Female,67.7,184.9,115.7,132.6,42.4,51.56509090585439
64,Male,82.4,179.5,84.3,139.8,38.3,15.407575761463193
18,Female,83.7,179.0,84.2,138.3,42.4,42.95399453873324
47,Male,102.0,186.1,97.9,129.3,40.7,22.349175915515332
36,Female,118.2,166.8,73.8,135.2,36.4,43.10570110622717
53,Female,63.0,172.5,95.2,135.5,40.2,48.95876269028844
31,Male,53.8,198.3,81.8,90.6,30.9,16.152766572333917
18,Female,95.9,183.4,101.7,85.1,36.5,28.73334437993907
22,Female,111.9,176.0,74.9,87.6,36.5,18.379822937731547
27,Female,89.6,178.9,71.1,89.8,36.3,16.936310713377907
26,Male,55.6,155.2,75.0,129.3,31.8,17.411949466969077
31,Female,79.5,179.6,116.2,136.5,37.3,56.51699346333913
56,Male,95.8,191.8,111.0,101.1,41.4,28.851909114061698
35,Male,73.0,176.2,109.7,82.1,34.8,34.36917378931531
59,Male,109.1,158.8,106.8,98.4,42.3,31.820406865074688
42,Male,65.7,172.4,98.2,122.4,38.8,26.10164097079388
53,Male,75.5,163.9,65.9,136.6,40.9,-3.249221502508931
48,Female,114.2,168.0,79.5,107.0,43.5,29.126758225513356
63,Female,90.1,161.3,93.7,100.2,37.2,37.53330858226252
52,Female,50.4,166.7,66.3,119.2,42.7,29.3739871582232
44,Male,67.1,191.1,61.8,92.7,32.1,-1.6442038358038076
39,Female,102.7,187.9,65.6,125.9,41.7,27.425184866445818
28,Female,53.6,174.5,66.5,104.8,42.5,20.23201384073309
27,Female,119.5,189.1,66.6,138.6,43.6,32.5050419702344
25,Male,112.9,198.8,71.4,136.0,31.2,7.653196461363905
58,Female,65.7,170.3,89.9,119.9,31.8,44.43070280213993
45,Female,112.7,199.0,77.1,118.9,30.3,31.99346465839244
40,Male,99.0,162.3,111.6,87.4,37.6,36.51828577528346
23,Female,79.8,197.7,112.6,96.9,32.9,36.883242709544504
31,Female,63.7,193.2,115.2,131.7,38.5,50.35853066620132
41,Male,64.0,160.0,88.3,101.8,43.4,17.921499767273588
26,Male,91.6,167.5,106.4,105.4,34.9,34.155987649896645
63,Male,79.1,185.4,95.5,130.4,30.1,27.522083941741016
57,Male,91.7,159.6,68.7,105.6,43.3,-1.9959131474644778
55,Female,73.1,179.5,98.1,131.0,39.3,46.76678115438756
42,Male,66.1,176.7,110.2,84.2,33.0,35.46920606341524
55,Female,108.6,164.6,80.9,121.5,40.4,39.03264906415575
47,Male,114.4,165.0,104.8,83.8,39.5,31.094759021418724
39,Male,99.4,175.8,106.5,127.4,35.7,32.24027339270265
19,Male,61.3,165.0,98.6,113.1,33.2,31.154045881854756
42,Female,56.5,159.0,113.0,113.4,44.9,49.19242307245338
41,Female,87.7,188.7,68.7,102.6,39.6,18.397023247099924
54,Female,88.5,179.1,110.6,134.2,30.0,56.4359071383455
20,Female,94.7,171.9,96.6,110.5,31.9,42.80245010354798
60,Male,113.4,159.1,111.3,95.6,33.7,39.05252349563199
43,Male,95.3,179.7,92.0,129.4,42.2,18.26997490569852
47,Male,114.1,181.4,79.7,136.9,37.1,12.334880596554513
46,Female,58.2,174.0,113.8,94.5,30.9,43.16166085419917
24,Female,99.6,168.6,112.6,116.3,34.0,51.82492594729348
26,Male,114.9,193.4,76.1,115.3,44.7,-0.09220778447746625
62,Male,82.4,185.2,104.6,116.6,41.5,26.192771550320174
47,Female,117.7,167.8,65.5,113.9,30.1,32.239401805152056
33,Female,88.7,179.7,65.2,86.0,42.6,7.730124280593316
61,Male,116.0,161.7,90.7,104.7,32.9,27.03705200656725
57,Male,102.4,150.6,62.1,139.1,35.0,1.7919398940286442
31,Male,82.0,193.4,86.0,85.3,31.8,19.194460416275263
43,Female,52.4,190.9,107.4,120.2,30.2,46.796019766478366
63,Female,96.0,182.0,113.4,133.7,37.6,53.684262220117716
54,Male,67.8,190.6,75.3,92.0,34.3,9.54814950222493
27,Male,70.2,189.0,64.6,128.1,35.4,-1.9140804276353833
47,Male,51.4,193.0,97.8,94.5,32.5,26.224950346721812
39,Female,89.0,194.6,75.9,81.8,42.1,8.514698610898677
47,Female,70.3,190.9,61.4,111.3,32.6,22.098994579902353
49,Male,118.8,192.6,67.9,122.7,37.8,-1.4070910611998215
31,Male,102.4,175.1,116.3,91.8,37.0,36.82237680081994
40,Male,75.0,185.4,112.5,84.2,43.8,29.40829830476713
34,Female,70.6,166.7,109.8,113.2,44.8,45.53019929641255
53,Female,100.0,193.1,80.4,88.9,43.6,14.310661612047284
46,Female,67.8,192.9,102.9,91.1,41.0,27.744336143584917
41,Female,81.4,153.3,117.4,122.2,36.5,59.7816099049258
64,Male,61.2,167.4,94.1,116.7,32.0,28.70694194415472
28,Male,67.8,158.6,80.0,136.8,43.0,11.188853700164714
58,Female,56.9,156.8,108.0,99.4,40.7,43.42344226714175
32,Female,79.9,170.7,85.8,92.9,32.0,30.220535376590703
39,Female,114.9,181.3,94.6,119.3,31.3,43.38161748540216
44,Male,57.1,167.2,92.5,138.3,40.1,22.31627017721422
51,Female,80.6,165.5,73.0,113.2,43.6,29.59708781421142
50,Male,70.9,154.7,60.0,97.6,33.2,0.670947341159831
38,Male,75.4,169.1,119.9,134.6,36.2,40.106997010251746
41,Male,104.0,173.5,85.0,116.6,44.5,11.817518718352801
37,Female,80.5,169.9,77.0,92.8,44.2,19.669590217261486
21,Female,95.5,184.0,106.0,137.0,40.5,50.5188599735539
54,Female,118.1,164.4,95.6,96.4,37.1,35.818657744733
54,Female,93.2,185.8,112.8,133.9,35.6,53.26090667467497
63,Male,73.6,194.1,106.9,116.9,35.9,29.24590671009412
50,Male,77.8,179.6,76.9,110.2,37.6,9.753751108165716
48,Female,98.7,169.4,95.5,100.0,40.3,34.590925790915094
51,Male,98.6,159.0,90.2,87.1,37.7,23.914070540008538
39,Male,75.8,196.6,117.3,94.7,33.4,35.341605668702925
59,Female,100.7,187.6,74.4,99.9,41.3,19.30933676934228
47,Female,88.5,162.3,77.0,97.3,36.8,27.90121246438406
22,Male,118.6,157.5,115.2,84.4,38.6,38.8611936681242
58,Female,113.6,152.5,87.5,114.8,41.6,41.99937553628695
62,Male,107.7,159.5,87.4,108.5,35.8,23.169606537668244
40,Female,52.4,186.6,112.1,86.4,43.9,29.953187948451273
30,Male,76.6,181.5,77.8,107.8,37.7,10.16542236637406
26,Female,90.1,198.4,101.8,84.7,40.6,23.212902152841252
31,Male,86.5,166.1,103.3,135.9,41.3,28.887463603905815
34,Female,103.4,189.3,86.5,95.5,35.5,25.545215297307493
52,Female,113.6,156.0,80.0,123.5,33.9,44.95925870057829
35,Female,105.1,178.1,104.8,95.1,43.9,32.688832219940764
29,Male,65.4,173.3,75.4,108.5,34.7,12.026818325960221
58,Female,84.0,191.9,109.2,136.0,31.6,52.591162836161345
33,Female,77.6,185.1,85.0,132.3,37.4,41.297722775153034
47,Male,103.6,159.7,61.1,126.7,42.4,-12.068432369629136
30,Female,112.7,199.2,94.2,127.4,34.2,40.88993723238758
35,Male,70.1,191.2,71.7,129.4,37.4,3.239131683667324
29,Male,84.2,167.7,88.0,124.6,35.4,22.368188348939952
51,Male,101.2,191.3,108.5,133.8,30.4,33.398046611005384
50,Male,53.5,197.8,71.4,101.0,32.1,7.003593310633335
23,Male,117.4,194.5,72.5,111.6,42.0,-1.230254890159074
35,Male,106.0,177.8,88.4,118.8,44.0,14.405781600481191
20,Female,88.0,178.9,88.6,91.9,30.1,29.88689669049637
23,Male,104.5,155.3,87.2,110.2,42.9,18.314050465757134
53,Female,108.5,158.2,101.7,87.4,40.9,34.37716001276095
39,Male,84.6,199.1,76.1,116.7,40.3,3.583229597713512
24,Female,80.8,188.5,75.6,85.9,36.5,14.949640594147468
47,Male,108.6,151.3,61.3,110.2,35.0,0.6428023928662014
19,Male,110.2,177.4,82.9,107.7,36.2,16.302490605087428
49,Female,58.7,167.3,71.7,86.7,39.0,16.9159363381321
32,Female,113.5,165.6,95.5,106.4,44.2,36.786295396593744
39,Male,69.4,177.8,70.9,120.7,33.1,8.668270890295162
55,Male,96.7,166.0,113.7,115.7,44.6,33.10466882109847
25,Female,99.7,162.6,110.9,107.5,33.5,49.53122615478196
25,Female,69.6,196.9,105.9,101.9,42.7,32.212628734718635
56,Male,71.3,152.0,108.5,83.4,39.9,35.62253493138405
53,Male,99.4,171.8,117.6,137.4,41.2,35.95756429582411
37,Female,62.3,175.6,79.2,104.2,42.5,26.13316934774474
54,Male,110.1,172.0,118.8,105.0,30.2,41.84660144139633
25,Male,65.6,182.9,113.4,87.7,40.9,31.915479653780267
31,Female,74.6,151.3,81.7,112.0,44.9,36.708208717785396
37,Female,68.7,194.2,111.8,138.8,37.4,51.863277808860346
52,Male,67.2,175.0,113.8,95.2,38.1,35.00461750040205
42,Male,118.5,177.7,62.2,98.8,31.6,1.3620414576200233
35,Female,67.7,173.1,112.6,94.2,35.1,40.9766146150032
64,Female,90.5,172.2,86.0,132.0,39.2,44.24153656658501
38,Female,102.2,159.3,108.7,108.5,31.8,50.73311544887048
54,Female,52.9,175.2,66.7,129.4,35.0,35.75162255724831
64,Female,111.7,171.1,70.3,131.0,35.2,39.07241012744856
48,Male,60.7,173.4,118.7,124.9,42.2,35.712527631873684
23,Female,91.2,150.7,85.0,95.7,38.1,33.81183673692908
59,Female,94.9,156.5,107.9,82.1,38.3,36.56037821984137
64,Female,94.1,188.2,105.0,88.6,34.2,31.741545172416068
37,Male,101.3,171.0,107.2,121.8,34.7,34.04357810363308
45,Male,115.2,187.1,105.9,124.4,36.8,29.347159383048734
58,Female,114.9,158.6,114.8,126.0,42.3,56.26494475683677
53,Male,90.5,184.9,95.6,94.6,34.8,24.837232026170966
57,Female,75.9,164.5,85.5,89.2,34.8,28.519486635644
43,Female,72.5,185.3,115.5,135.4,38.5,53.871513495515046
30,Female,112.1,154.3,81.4,119.9,42.6,40.522062247194526
21,Male,109.7,166.7,97.8,124.5,37.6,27.647660573420694
51,Male,70.7,156.0,111.3,85.6,31.9,40.61362926793856
54,Male,60.7,181.5,115.0,104.7,43.7,31.509040121357828
51,Female,110.3,169.6,117.0,83.8,37.1,38.41252982598451
33,Male,92.6,153.7,99.6,119.5,41.6,28.74046360745615
40,Female,71.9,176.3,103.2,109.4,30.6,44.45789003230095
40,Male,92.7,151.2,89.9,107.1,42.5,21.61573972505323
32,Female,54.6,190.9,77.1,134.2,30.9,40.06258316509127
42,Female,63.3,196.9,61.0,124.4,44.5,21.153283637390416
46,Male,88.2,190.5,73.3,137.9,43.4,-1.3324510570813572
53,Female,87.7,197.6,118.8,82.8,34.0,33.12760398204074
32,Male,67.3,194.9,108.4,116.9,33.4,31.23294534119077
54,Female,118.7,194.7,88.7,117.8,41.8,32.54623077622011
52,Female,78.9,162.3,80.6,81.6,32.3,23.94606203380158
63,Male,99.6,161.6,63.9,127.2,43.0,-8.781212145246002
56,Female,68.1,190.5,60.6,89.2,30.5,11.435388411713461
64,Female,79.7,174.6,105.3,122.1,39.8,47.20792354540771
54,Female,108.2,197.1,119.1,82.3,33.9,33.19949549423683
58,Female,109.4,194.9,75.2,116.8,42.6,25.628263312046215
45,Male,59.5,194.7,76.5,111.2,35.7,8.767139226806705
62,Male,74.8,166.3,116.1,109.0,36.5,38.63604321178292
47,Male,64.2,156.6,96.1,102.0,32.2,31.896456899381405
24,Female,112.3,183.9,70.4,105.2,39.4,21.78119083369677
21,Male,102.8,172.0,62.7,108.6,37.1,-3.761924326554208
24,Male,89.4,196.7,93.8,97.9,30.1,24.704155622045903
50,Female,95.5,192.7,87.2,136.1,41.0,40.398544631476796
64,Female,114.0,196.4,85.9,137.9,31.9,43.31940695781748
64,Male,71.2,178.4,118.2,98.0,37.9,36.71944048022726
35,Male,51.0,176.3,75.8,126.7,38.1,8.816740097374463
32,Female,51.8,192.4,89.3,125.1,34.5,39.49406718249509
52,Female,53.3,175.6,72.8,132.5,33.4,40.39327053764299
54,Female,59.0,195.0,79.3,80.2,34.7,13.427302358708971
22,Female,90.0,151.7,106.0,100.3,36.0,46.602318178362566
40,Male,118.7,167.9,71.8,88.7,44.0,-0.3365975338893463
27,Male,79.4,191.7,100.6,103.5,40.0,23.611799472516395
42,Female,99.9,160.5,67.8,114.5,44.5,28.548837136655663
39,Female,105.5,169.9,71.4,134.5,31.3,43.09783998299844
48,Male,106.1,150.5,61.4,130.4,30.7,6.1124653423829045
40,Male,81.0,165.1,97.8,109.9,30.9,32.01525745813035
45,Male,88.5,165.9,119.4,81.4,42.9,37.131191841128384
62,Male,73.0,186.6,99.4,98.1,42.5,22.071786804965086
32,Female,98.2,183.9,115.4,86.4,36.6,35.35582125838977
57,Male,76.8,172.2,91.6,119.0,36.5,23.30294452993388
24,Female,71.8,186.4,100.8,121.7,36.4,43.491630385239034
63,Female,93.9,171.4,115.5,118.9,44.2,49.14714264331468
55,Male,73.9,171.7,65.2,96.5,33.9,3.088787181262603
57,Female,78.6,182.3,95.8,135.2,40.8,46.18637868321241
32,Female,99.8,186.1,94.5,115.3,31.6,40.34359073105003
22,Female,109.7,192.3,62.0,115.8,33.9,23.619933499733918
29,Female,80.4,187.6,69.4,128.9,39.0,31.840527479353568
30,Male,86.6,183.5,93.1,84.2,39.0,20.69986147412567
20,Male,102.2,178.1,89.9,92.6,38.3,19.84433160126457
36,Male,65.7,165.4,80.6,115.4,31.9,19.921712518898914
43,Female,79.1,163.1,101.9,116.6,41.3,46.14605486785257
47,Female,106.8,192.2,81.6,108.0,40.7,26.007565777251102
45,Male,112.6,185.9,106.1,126.8,40.2,27.72957337900226
32,Female,95.1,183.3,108.6,100.7,31.9,40.718393107590884
35,Male,77.5,162.9,98.7,80.7,33.3,31.5565046823761
24,Male,92.4,198.5,76.7,100.4,43.7,0.8792307788175435
31,Female,62.5,154.1,108.2,138.0,37.2,61.812859392397286
41,Male,52.1,191.9,75.1,126.7,36.3,7.413999043513513
41,Female,55.2,160.5,78.2,99.1,43.1,26.694230108394834
28,Male,57.6,169.6,96.5,93.3,34.4,28.301548539374608
56,Female,65.8,171.4,101.3,128.6,42.4,48.055558192136004
60,Female,82.3,183.1,82.3,92.0,36.6,22.719912730493377
57,Male,66.3,177.3,95.5,114.8,39.3,23.1575226993063
27,Male,91.0,159.3,74.9,110.5,35.5,13.30890371391854
60,Female,119.9,151.5,107.7,105.4,43.7,46.26431113550268
50,Female,84.9,185.9,119.5,105.6,31.6,46.55374715002927
37,Female,103.0,175.2,101.9,122.1,33.3,48.290170174767354
59,Female,70.5,168.1,79.2,86.2,33.0,23.731903603835633
56,Male,117.4,164.2,80.9,103.7,33.9,18.829041141893526
39,Male,67.4,191.2,61.8,138.1,36.8,-7.380381362898902
52,Female,91.8,189.8,98.8,126.7,31.8,45.64105740946155
45,Female,118.8,191.3,96.0,81.3,30.6,25.179406259928555
53,Female,106.6,161.0,117.3,106.8,38.5,50.30044035718902
47,Male,119.4,192.6,84.1,87.0,37.5,13.813855012805789
23,Male,76.6,199.3,116.0,109.1,35.1,33.47751788776293
18,Female,55.4,180.0,105.6,86.2,32.6,33.66432359473157
21,Female,67.0,152.4,77.3,103.4,31.8,36.42452164035507
42,Female,117.0,185.1,61.0,112.7,43.3,18.548093729247
56,Male,75.9,176.9,103.6,102.0,36.5,29.965112676655906
28,Male,58.7,185.6,89.8,114.7,44.3,14.033826830440603
55,Female,91.5,159.4,117.7,139.1,34.9,64.93251446505838
54,Female,85.0,180.3,61.3,94.7,39.2,12.32414837829208
29,Female,54.4,177.0,91.3,113.9,38.5,37.76846449155056
46,Male,81.7,180.1,107.3,108.3,32.4,33.67366713952612
51,Female,94.3,186.4,107.4,128.6,37.4,48.40214736057828
35,Female,66.3,177.2,100.3,98.9,37.3,35.591321129575704
26,Male,58.7,166.1,83.7,118.3,37.6,17.777189623825848
63,Female,110.5,165.5,64.0,121.6,34.5,33.72219858471544
29,Male,93.8,184.8,78.1,138.5,33.6,13.360010007406117
26,Female,60.9,183.2,99.1,89.1,36.2,29.574951639999824
18,Male,94.0,171.1,106.3,139.9,43.8,28.27422863504711
24,Male,101.5,167.7,109.0,123.3,38.5,33.56617815048389
56,Male,91.8,181.0,106.4,107.4,37.0,30.549560273477994
59,Female,58.1,165.6,79.4,95.8,32.9,29.421444546603198
51,Female,58.7,198.2,101.6,117.7,43.9,36.271528501878265
49,Male,53.2,179.8,118.1,88.5,39.9,35.421068675609035
45,Female,66.4,179.6,68.2,136.8,44.8,34.21572468372733
43,Male,54.2,156.8,103.9,91.1,32.5,36.20805583901961
53,Male,106.4,180.5,84.6,126.5,35.9,17.3200638584006
57,Male,51.1,164.7,73.5,100.7,35.0,11.515302154380265
31,Female,90.7,172.6,79.2,93.0,35.0,25.04042514217872
62,Male,106.7,176.9,70.0,128.5,30.5,10.36833789466283
48,Female,112.6,173.9,108.9,133.3,38.1,53.889229699900284
33,Female,78.7,190.5,83.2,80.3,39.1,14.189050420447188
56,Male,93.5,155.0,116.3,138.4,30.7,43.87414120586595
59,Female,116.6,158.4,118.0,105.3,43.2,48.78283177414528
28,Female,97.0,157.8,117.9,85.8,33.0,44.90071053504079
28,Female,113.1,190.8,69.3,107.2,32.2,24.152358475511903
55,Male,97.9,155.9,80.8,87.1,32.7,21.238514498218933
29,Female,54.8,198.6,78.6,95.5,36.3,19.27410414359673
59,Male,63.8,198.5,115.4,113.5,31.2,35.17516558685037
26,Male,115.8,199.6,65.2,101.6,42.4,-11.504364255805285
39,Female,109.1,199.0,95.3,93.7,40.2,24.43849970962134
55,Male,79.6,157.5,89.1,91.8,37.1,23.843038541798762
26,Female,61.3,182.9,118.6,118.2,37.5,49.5863555811049
20,Male,61.0,170.0,117.8,134.6,36.1,38.96442673895075
56,Female,113.3,186.6,85.4,83.4,40.7,17.009780511182555
52,Female,61.6,170.3,86.5,94.7,44.3,25.476107432039953
47,Male,77.0,169.2,83.1,119.9,38.3,16.186305222820693
43,Male,113.1,195.2,107.4,139.2,38.5,27.919409314255574
25,Male,52.3,174.7,66.0,120.9,37.8,-0.9408886536666614
49,Male,94.2,187.0,67.0,83.2,43.7,-9.09284809553219
39,Male,74.5,182.5,102.3,90.7,39.5,26.46364512127326
25,Female,57.5,182.9,61.0,100.9,43.1,12.845874027191712
62,Female,89.7,167.5,100.3,89.4,38.8,33.08288067538706
19,Male,83.9,162.6,67.7,90.9,40.5,-0.19549363964233635
31,Male,56.9,194.3,107.2,96.4,39.8,27.22208959237605
22,Female,68.7,151.2,104.4,102.4,36.6,46.71572418459573
30,Female,101.8,158.6,70.9,103.5,32.1,31.354017829183476
40,Female,102.9,156.6,105.4,110.0,36.3,48.908750704845204
30,Male,91.9,197.5,107.4,135.7,43.1,24.93383476926641
36,Female,57.7,150.3,115.5,139.6,39.8,65.49655409397212
41,Male,109.7,150.4,103.5,81.2,44.2,30.270217270387604
52,Male,62.1,161.3,112.1,109.6,34.2,38.76175434230731
31,Male,100.5,164.0,98.2,125.1,37.1,28.721930367591767
21,Female,53.0,178.0,97.5,84.4,41.1,25.487903487803294
43,Male,73.2,198.1,100.5,136.5,32.0,27.241015099673973
27,Female,83.5,173.3,84.4,136.3,31.5,48.2129708196843
55,Male,52.0,164.4,73.7,92.5,41.3,5.49781194232321
55,Female,62.0,190.9,84.8,127.1,40.0,36.52849658472235
51,Female,72.3,169.3,95.6,114.9,37.2,42.70687379714883
51,Male,118.8,157.1,101.4,82.0,31.0,35.58949174924777
36,Male,104.6,189.7,87.4,97.8,39.4,15.32715925727615
20,Male,108.8,150.1,79.8,95.8,40.0,15.412907418778673
53,Female,96.7,160.3,74.8,132.8,34.5,45.20461716066188
21,Female,70.5,181.8,71.0,133.9,31.3,39.503723477402275
43,Female,99.7,155.1,88.6,82.1,37.6,27.62960438623827
28,Female,97.2,162.8,102.4,124.5,37.3,51.40236039109391
20,Male,92.7,169.7,109.8,87.2,34.4,35.83067766999892
26,Female,70.9,169.8,80.7,127.5,38.5,41.00888509653237
63,Male,68.4,198.6,96.7,130.7,39.1,20.648695417435476
19,Female,73.5,183.8,88.7,83.6,43.8,17.859513484851902
31,Female,71.9,151.9,118.0,99.6,41.6,49.04475082761775
20,Male,55.4,161.1,112.9,102.8,42.1,35.009843792620586
19,Male,106.2,180.8,112.9,137.3,32.8,36.19185009176499
39,Female,75.8,185.7,94.8,102.3,36.9,32.70202428593052
46,Female,99.5,169.0,86.2,95.4,33.1,31.5353874863942
50,Male,69.6,192.8,99.1,117.2,32.8,26.83450934848065
53,Female,92.1,197.2,69.6,89.5,37.6,11.203321784332218
27,Female,52.4,180.7,113.0,117.5,34.2,49.01007991092342
64,Male,57.4,178.1,76.3,107.5,33.2,13.286472039741852
61,Male,75.5,187.5,109.6,123.9,40.9,29.05752144973195
55,Male,68.8,189.1,77.9,114.7,30.5,14.96458573039348
38,Female,74.7,160.8,91.3,90.6,41.3,29.884393039984445
48,Male,115.1,174.2,106.3,136.2,43.5,27.900878177684262
52,Male,55.2,172.4,83.6,106.9,40.6,14.15137547412337
20,Male,82.4,197.1,81.5,124.7,32.9,14.654718311617671
36,Female,63.9,155.6,113.3,111.9,41.0,51.376435646693835
39,Male,74.9,197.2,64.1,131.9,37.5,-6.1637326996805655
37,Female,97.4,178.6,110.5,100.2,39.6,39.26146784311345
53,Female,118.1,164.4,115.7,118.3,35.9,54.32863797714259
36,Male,98.6,193.5,93.8,84.8,32.9,23.512943972122912
63,Female,111.9,152.5,101.8,84.7,30.3,39.89697450998631
21,Male,60.3,165.9,111.7,130.6,41.1,33.964172427124765
49,Female,62.7,187.6,86.1,129.1,36.4,40.21756898997228
25,Male,111.4,191.4,112.7,101.6,33.6,33.87956808599699
43,Female,92.5,158.4,82.3,120.6,39.3,41.54776758107664
18,Female,105.4,197.1,78.4,129.7,41.9,32.64145306846456
43,Female,65.6,152.7,119.0,88.6,37.9,46.02150912411895
64,Male,74.4,171.7,61.9,139.1,41.4,-11.000066333952532
60,Male,55.7,154.9,79.2,133.2,35.1,18.224667257657813
26,Female,112.7,154.9,87.5,121.5,39.8,45.117787648103274
52,Male,116.9,195.7,78.7,112.6,39.2,7.483832417780491
35,Female,110.0,195.2,76.9,133.7,32.6,38.045824727211084
36,Male,80.6,180.8,82.2,124.4,41.1,11.151487983019422
33,Male,73.9,198.3,83.9,115.1,41.4,9.684105491257014
45,Female,82.4,174.6,64.3,133.5,39.9,34.45814421927264
20,Male,94.6,189.1,106.5,92.6,35.7,29.95131926311194
35,Male,80.2,154.9,70.1,94.7,38.2,6.635242789624897
30,Female,79.5,169.8,62.5,135.8,36.6,37.459310005128714
44,Female,80.2,175.8,95.4,84.0,30.0,30.19580939683533
57,Male,102.1,188.9,100.1,82.8,30.2,29.491564302574886
56,Female,105.1,166.7,105.6,127.5,33.0,54.42814712202642
41,Male,110.9,199.0,65.3,104.8,43.7,-13.159613852506368
46,Male,67.0,186.7,70.3,135.0,39.5,0.22214550228261487
39,Male,61.0,176.6,70.9,98.0,35.8,6.2646615218683905
43,Male,74.2,166.5,95.6,97.2,39.1,25.274445980694736
37,Male,79.4,182.1,113.4,137.4,31.0,37.08387820574478
41,Female,99.1,183.7,102.4,113.2,31.6,43.331900408325055
29,Female,103.1,184.0,78.9,116.8,31.2,35.02401326676852
35,Male,118.9,179.3,111.2,133.9,42.3,30.56559315683745
64,Male,76.5,170.0,100.2,102.8,45.0,23.76197665981516
29,Female,78.2,190.8,101.3,94.9,33.4,32.63004075964051
55,Female,87.9,162.9,117.4,114.3,37.2,53.350002282791706
49,Female,107.4,181.3,117.0,104.6,32.0,46.2100654969002
40,Male,96.3,173.6,83.1,89.8,43.2,11.26870835369192
21,Female,90.1,194.6,98.2,87.1,32.3,27.35634694890507
29,Female,95.4,179.5,72.1,123.5,37.9,33.11100619035517
34,Male,82.5,192.8,84.7,82.1,38.7,13.317500976690667
38,Female,103.1,197.7,76.4,111.7,37.2,25.696661217124642
54,Female,55.3,156.4,82.0,99.8,30.9,36.20554331605405
46,Female,85.6,177.8,100.5,89.1,40.3,29.643250945096156
23,Male,106.5,194.2,72.6,133.4,43.3,-2.537302393617324
64,Male,71.2,193.6,70.8,124.4,31.4,7.701333772392275
45,Male,109.0,159.8,82.8,126.4,40.9,15.437697998233318
25,Female,104.8,174.1,65.9,106.2,42.3,20.856433746012044
48,Female,90.6,161.2,108.8,118.9,32.4,54.18614036886379
37,Female,67.7,194.8,117.5,85.4,44.9,29.57159117820271
33,Male,110.3,150.2,108.1,88.4,34.5,38.801110274188375
30,Male,52.1,160.9,91.9,99.4,34.6,26.85925124655961
32,Female,91.5,170.5,100.4,107.5,38.5,40.68577288039586
30,Female,104.8,161.1,108.3,85.6,42.3,35.18653656513948
64,Female,84.0,198.7,64.1,113.9,36.9,20.858477179000033
19,Male,57.2,162.2,85.1,94.4,38.2,19.116134413679845
37,Female,108.4,168.1,68.6,126.5,39.3,35.22078589469464
45,Female,113.6,158.7,65.4,80.0,41.9,9.69207210356393
35,Female,89.4,196.3,105.5,132.0,39.7,45.61737241194737
24,Male,105.1,170.6,111.5,124.0,32.5,37.509725953437794
38,Female,92.8,163.1,65.0,112.8,39.0,28.343913456440532
58,Male,90.1,162.3,70.7,124.3,33.2,11.001642650137455
56,Male,59.2,179.3,73.2,101.9,36.5,7.392280700488925
26,Female,80.6,198.9,111.4,89.8,43.0,28.733566414797053
61,Male,97.5,198.7,114.8,80.5,31.9,34.5308321668648
27,Male,81.8,199.1,105.9,112.9,35.4,28.184445017740245
48,Female,93.2,169.3,107.8,97.5,38.4,39.9173176846777
59,Male,112.6,195.7,80.6,92.8,43.1,5.670893419025731
30,Female,75.6,172.2,84.5,132.0,41.7,42.549995271244086
22,Female,108.0,175.5,76.8,123.5,36.4,36.9248256470504
